Word	Category	WordClass	TranslationEng	TranslationEpo	Do not remove (Proofreading)	Tags	SearchTermsEng	TransNote	LexiliAsel	Hyphenation	Synonyms	Antonyms	slug_mod	OfficialWord	TranslationSpa	TranslationDeu	TranslationFra	TranslationRus	TranslationZho	TranslationHin	TranslationAra	Etymological support	
letagi	derived	b.oj	n: laying; v.tr: lay	kuŝigo; kuŝigi					leta + -gi					FALSE	acostar								
levura	root	b.oj	n: (brewer's) yeast, leaven, leavening; v.tr: leaven	(bakista) gisto, fermentilo; fermentigi (panon)		kokiarte			Espanisa (levadura), Fransesa (levure), Pilipinasa (lebadura), Parsisa (لوور “levur”)					TRUE	levadura; leudar		levure, levain; (faire) lever		酵母, 发酵剂, 膨松				
lexi	root	b.oj	n: word, term; v.tr: word (_put into words_)	vorto; vortigi, vortumi		500 maxim pimpan genulexi ji fikso, bage 3 de lista 500, basalogi			Englisa (lexicon, lexical), Fransesa (lexical), Doycisa (lexikalisch), Rusisa (лексический “leksiceskiy”), Espanisa (léxico), Portugalsa (léxico), Pilipinasa (leksiko, leksikograpiya), Niponsa (-詞 “-xi”), Elinisa (λέξη “leksi”)					TRUE	palabra, término; poner en palabras	Wort; formulieren	mot; formuler	слово; формулировать	詞 (_語言_)				
leya	derived	b.oj	n: (the) past; v.tr: be before	estinteco, pasinteco; esti antaŭ					le + -ya			xaya		FALSE	pasado; preceder (a), anteceder (a), ser antes (de)								
lide	root	b.oj	n: lead, leadership, direction, conduction; v.tr: lead, direct, conduct	konduko, direkto, gvidado; konduki, direkti, gvidi		harka			Englisa (leader, lead), Fransesa (leader), Doycisa (Leiter, leiten), Rusisa (лидер “lider”), Espanisa (líder), Turkisa (lider), Pilipinasa (lider), Niponsa (リーダー “rida”), Koreasa (리더 “rido”)					TRUE	dirección, conducción; dirigir, conducir								
lifafa	root	b.oj	n: envelope, wrapping; v.tr: envelop, wrap	koverto, envolvaĵo; envolvi, ĉirkaŭvolvi					Hindi (लिफ़ाफ़ा “lifafa”), Arabisa (لِفَافَة “lifafa”), Parsisa (لفاف “lefâf”)					TRUE	envoltura, sobre; envolver								
lifti	root	b.oj	n: lift, raising; v.tr: lift, raise	levo; levi		harka			Englisa (lift, lifting), Doycisa (Lift - liftitora), Rusisa (лифт “lift” - liftitora), Hindi (लिफ़्ट “lift” - liftitora)					TRUE	levantar, alzar, cargar								
lihemu	root	b.oj	n: welding, soldering; v.tr: weld, solder	veldo, luto; veldi, luti		profesi			Arabisa (لحام “liham”, لَحْم “lahm”, لَحَمَ “lahama”), Turkisa (lehim), Parsisa (لحیم “lahim”), Swahilisa (lehemu)					TRUE	soldadura; soldar 								
lijun	root	b.oj	n: profit (_economics_); v.tr: profit	profito (ekonomika); profiti		ekonomi			Putunhwa (利润 “lirun”), Niponsa (利潤 “rijun”), Vyetnamsa (lợi nhuận), Koreasa (이윤 “iyun”)					TRUE	ganancia (_economía_), beneficio								
lika	root	b.oj	n: lick; v.tr: lick	leko; leki					Arabisa (لعق “laeq”), Englisa (lick), Fransesa (lécher), Italisa (leccata, leccare), Doycisa (lecken), Rusisa (лизать “lizat”), Parsisa (لیس “lis”), Ivrisa (לִקֵּק “likek”)					TRUE	lamida; lamer	Lecken; lecken							
likwidogi	derived	b.oj	n: liquefaction; v.tr: liquefy (_cause to become a liquid_), liquify	likvigo; likvigi					likwido + -gi					FALSE	licuación, licuefacción; licuar, hacer líquido								
lilalogi	derived	b.oj	n: modification, adjustment; v.tr: modify, adjust	ŝanĝeto, modifo, agordo; ŝanĝeti, modifi, agordi					lil- + alo + -gi					FALSE	modificación, ajuste; modificar, ajustar								
lileksame	derived	b.oj	n: quiz; v.tr: quiz	ekzameneto, kvizo; ekzemeneti					lil- + eksame					FALSE	examen, prueba; examinar, tomar examen (a)								
lilgi	derived	b.oj	v.tr: cause (_something_) to be small or little, make (_something_) small or little	malgrandigo; malgrandigi			small, little		lil + -gi			daygi		FALSE	encoger, achicar, reducir								
lilloga	derived	b.oj	n: whisper; v.tr: whisper	flustro, direto; flustri, direti					lil- + loga					FALSE	susurrar								
lilmwa	derived	b.oj	n: peck; v.tr: peck (_kiss_)	kiseto; kiseti					lil- + mwa					FALSE	besito; dar un besito								
lilpala	derived	b.oj	n: whisper; v.tr: whisper	flustro, paroleto; flustri, paroleti					lil- + pala					FALSE	susurro; susurrar								
lilsomno	derived	b.oj	n: nap; v.tr: (take a) nap, doze	dormeto; dormeti					lil- + somno					FALSE	siesta; sestear, tomar una siesta	Nickerchen; ein Nickerchen machen	sieste, somme, roupillon; faire la sieste, siester		小睡, 打盹, 午睡				
lilyao	derived	b.oj	n: nibble; v.tr: nibble	mordeto; mordeti					lil- + yao					FALSE	mordisqueo; mordisquear								
limite	root	b.oj	n: limit; v.tr: limit	limo; limigi					Englisa (limit), Fransesa (limite), Doycisa (Limes), Rusisa (лимит “limit”), Espanisa (límite), Turkisa (limit)					TRUE	límite; limitar		limite; limiter		极限, 制限, 限制				
linku	root	b.oj	n: connection, link, bond; v.tr: connect, link	ligo; ligi		500 maxim pimpan genulexi ji fikso, bage 4 de lista 500, komputer			Doycisa (Link), Englisa (link), Rusisa (линк “link”), Fransesa (lien), Hindi (लिंक “link”), Parsisa (لینک‎ “link”), Telugusa (లింక్ “link”), Niponsa (リンク “rinku”), Vyetnamsa (liên kết), Parsisa (لینک‎ “link”), Gwondunsa (连结 “lingit”), Ivrisa (לִינְק‎ “link”)					TRUE	conexión, enlace; conectar, enlazar								
loga	root	b.oj	n: statement, utterance; v.tr: say, tell, state, utter	diro; diri		500 maxim pimpan genulexi ji fikso, bage 1 de lista 500			Englisa (dialogue, monologue), Fransesa (dialogue), Doycisa (Dialog), Rusisa (диалог “dialog”), Espanisa (dialoga), Pilipinasa (diyalogo), Indonesisa (dialog), Turkisa (diyalog), Elinisa (λόγος “logos”)					TRUE	declaración, enunciación; decir, declarar, enunciar								
lokagi	derived	b.oj	v.tr: situate	lokigo; loki, lokigi, situigi					loka + -gi					FALSE	situar, ubicar								
lubi	root	b.oj	n: love; v.tr: love	amo; ami		500 maxim pimpan genulexi ji fikso, bage 3 de lista 500, ganjon			Rusisa (любить “lyubit”), Englisa (love), Doycisa (Liebe), Hindi (लुभ्यति “lubyati”)			nefra		TRUE	amor; amar		amour; aimer	любовь; любить					
lula	root	b.oj	n: lulling; v.tr: lull	kvietigo, lulado; kvietigi, luli					Englisa (lull, lullaby), Espanisa (arrullar), Doycisa (lullen), Pilipinasa (lulay), Telugusa (జోల “jola”, లాలి “lali”), Parsisa (لالا کردن “lâlâ kardan”, لالایی “lâlâyi”), Putunhwa (摇篮曲 “yawlancu”), Niponsa (ラバイ “rarabay”), Hindi (लोरी “lori”)					FALSE	arrullo; arrullar, adormecer								
lumin	root	b.oj	n: light; v.tr: light, illuminate, emit light (on)	lumo; ilumini, lumigi, lumi		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500			Englisa (illuminate), Fransesa (illuminer), Doycisa (Illumination), Rusisa (иллюминация “illyuminatsiya”), Espanisa (iluminar), Niponsa (イルミネーション “iruminexon”)					TRUE	luz; alumbrar, iluminar								
lungogi	derived	b.oj	v.tr: lengthen (_cause to be long_)	lungigo; lungigi					lungo + -gi					FALSE	alargar, elongar, extender								
lungoje	derived	b.oj	n: length; v.tr: measure the length of	longeco (_mezuro_); mezuri longecon de					lungo + -je					FALSE	longitud, largo, largaria; medir la longitud de								
macwi	root	b.oj	n: anesthesia; v.tr: anesthetize, anesthetise	anestezo; anestezi		medis			Putunhwa (麻醉 “madzwey”), Niponsa (麻酔 “masui”), Koreasa (마취 “machwi”)					TRUE	anestesia (_pérdida de sensación_); anestesiar								
magneto	root	b.oj	n: magnet; v.tr: magnetize, magnetise	magneto		fisika, xey			Englisa (magnet), Fransesa (magnétique), Doycisa (Magnet), Rusisa (магнит “magnit”), Espanisa (magnete), Arabisa (مَغْنَاطِيس “magnatis”), Parsisa (مغنیطیس “magnatis”), Turkisa (mıknatıs), Indonesisa (magnet), Pilipinasa (magnetiko)					TRUE	imán; magnetizar								
mahi	root	b.oj	n: fish; v.tr: fish	fiŝo; fiŝkapti		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500, hewan			Parsisa (ماهی “mahi”), Hindi (मछली “macli”, मच्छी “maci”, माही “mahi”), Telugusa (మత్స్యము “matsyamu”), Swahilisa (samaki)		mahibujo			TRUE	pez, _Vertebrata_ (_excepto Tetrapoda_); pescar	Fisch; fischen, angeln	poisson; pêcher	рыба; рыбачить	鱼; 钓鱼				
mahibujo	derived	b.oj	n: fishing; v.tr: fish	fiŝado; fiŝkapti, fiŝi					mahi + bujo					FALSE	pesca; pescar			pêcheur					
maladresu	derived	b.oj	n: misaddressing; v.tr: misaddress	misadresado; misadresi					mal- + adresu					FALSE	escribir la dirección incorrectamente, enviar a la dirección equivocada								
malaham	derived	b.oj	n: misunderstanding; v.tr: misunderstand	miskompreno; miskompreni					mal- + aham					FALSE	malentendido; malinterpretar								
maldoxo	derived	b.oj	n: misreading; v.tr: misread	mislego; mislegi					mal- + doxo					FALSE	leer mal								
maldoyday	derived	b.oj	n: mistreatment, abuse; v.tr: mistreat, abuse	mistraktado; mistrakti					mal- + doyday		burdoyday			FALSE	abuso, maltrato; abusar (de), maltratar								
malgida	derived	b.oj	n: misguidance; v.tr: misguide	misgvidado; misgvidi					mal- + gida					FALSE	desorientar, engañar, despistar, informar mal								
malharufi	derived	b.oj	n: misspelling; v.tr: misspell	misliterumo; misliterumi					mal- + harufi					FALSE	mala ortografía, error ortográfico; deletrear mal								
malhesabu	derived	b.oj	n: miscount; v.tr: miscount	miskalkulo; miskalkuli					mal- + hesabu					FALSE	error en el cálculo; equivocarse en las cuentas								
malinforme	derived	b.oj	n: misinformation; v.tr: misinform	misinformo, erara informo; misinformi, erare informi				kompara: burinforme	mal- + informe					FALSE	desinformación, información errónea, información incorrecta; desinformar, informar mal								
malkadam	derived	b.oj	n: misstep, trip, stumble; v.tr: misstep, trip, stumble	mispaŝo, stumblo; mispaŝi, stumbli, faleti					mal- + kadam					FALSE	paso en falso, tropiezo, tropezón, traspié, trastabillón, trompicón; tropezar(se), trastabillar, hacer zancadillas								
mallide	derived	b.oj	v.tr: mislead	miskonduko, misdirekto, misgvido; miskonduki, misdirekti, misgvidi					mal- + lide					FALSE	desviar, descaminar, desencaminar								
malpala	derived	b.oj	v.tr: misspeak	misparolo; misparoli					mal- + pala					FALSE	expresarse mal								
malxengi	derived	b.oj	n: miscarriage; v.tr: miscarry	aborto; aborti		medis			mal- + xen + -gi					FALSE	aborto; abortar							Doycisa (Fehlgeburt)	
malyongu	derived	b.oj	v.tr: misuse, waste (_money, etc._), abuse (_drugs, etc._)	misuzo; misuzi					mal- + yongu					FALSE	abuso (_drogas, etc._); abusar (de)								
manipula	root	b.oj	n: manipulation, tampering; v.tr: manipulate, tamper (with)	s: manipulado; v.tr: manupuli (_figurasence_)					Englisa (manipulation, manipulate), Espanisa (manipulación, manipular), Fransesa (manipulation), Rusisa (манипуляция “manipulatsiya”), Doycisa (Manipulation), Indonesisa (manipulasi), Telugusa (మానిప్యులేషన్ “manipyuleyxan”), Turkisa (manipülasyon)					FALSE	manipulación; manipular								
manjaniku	root	b.oj	n: catapult; v.tr: catapult	katapulto; katapulti		jentotul			Arabisa (منجنيق “manjanik”), Turkisa (mancınık), Parsisa (منجنیق “manjaniq”)					TRUE	catapulta; catapultar	Katapult; katapultieren	catapulte; catapulter	катапульта; катапультировать					
mansi	root	b.oj	n: divination, augury, -mancy; v.tr: divine, augur, foretell, foresee	divinado; divini		mito			Englisa (-mancy), Espanisa (-mancia), Fransesa (-mancie), Rusisa (-мантия “-mantiya”), Doycisa (-mantie), Elinisa (μαντεία “mandia”), Indonesisa (nekromansi - moryenmansi), Arabisa (نِكْرُومَانْسِيَّة “nikrumansiya” - moryenmansi), Parsisa (اورنیتومانسی “ornitomansi” - piumansi), Turkisa (nekromansi - moryenmansi), Niponsa (ネクロマンシー “nekuromanxi” - moryenmansi)					FALSE	(a)divinación, adivinamiento, sortilegio; adivinar, predecir, presagiar, pronosticar, profetizar, vaticinar, prever								
marine	root	b.oj	n: marinade; v.tr: marinate	marinaĵo; marini		yamxey			Englisa (marinade, marinate), Espanisa (marinada, marinar), Fransesa (marinade, mariner), Rusisa (маринад “marinad”, мариновать “marinovat”), Doycisa (Marinade, marinieren), Indonesisa (marinasi), Hindi (मैरिनेड “marined”), Swahilisa (marinadi), Parsisa (ماریناد “marinad”), Turkisa (marinasyon, marine), Koreasa (마리네이드 “marineydu”), Niponsa (マリネード “marinedo”, マリネ “marine”). Am kompara: adate.					FALSE	marinado; marinar	Marinade; marinieren	marinade; mariner						
marka	root	b.oj	n: mark, grade (_schooling_); v.tr: mark	marko; marki		simbolo, eskolya			Englisa (mark), Fransesa (marque), Doycisa (Marke), Rusisa (марк “mark”), Espanisa (marca)					TRUE	marca; marcar								
masaji	root	b.oj	n: massage; v.tr: massage	masaĝo; masaĝi					Englisa (massage, massaging), Espanisa (masaje), Fransesa (massage), Rusisa (массаж “massaj”), Doycisa (Massage), Portugalsa (massagem), Italisa (massagi), Pilipinasa (masahe), Putunhwa (马杀鸡 “maxaji”), Hindisa (मसाज “masaj”), Arabisa (مَسَاج “masaj”), Niponsa (マッサージ “massaji”), Turkisa (masaj), Koreasa (마사지 “masaji”), Parsisa (ماساژ “masaj”), Swahilisa (masaji)					FALSE	masaje; masajear	Massage; massieren	massage; masser						
masku	root	b.oj	n: mask; v.tr: mask	masko; maski		labas			Englisa (mask), Fransesa (masque), Doycisa (Maske), Rusisa (маска “maska”), Espanisa (máscara), Indonesisa (masker), Pilipinasa (maskara), Niponsa (マスク “masuku”), Koreasa (마스크 “maseukeu”), Hindi (मास्क “māsk”), Telugusa (మాస్కు “māsku”, మాస్క్ “māsk”), Parsisa (ماسک “mâsk”), Turkisa (maske)					TRUE	máscara	Maske; maskieren	masque; masquer	маска; маскировать					
masturba	root	b.oj	n: masturbation; v.tr: masturbate	(mem)masturbado, (sin)masturbado; memmasturbi, sinmasturbi, onani; masturbi, masturbi		sekso			Englisa (masturbation, masturbate), Espanisa (masturbación, masturbar), Fransesa (masturbation), Rusisa (мастурбация “masturbatsiya”), Doycisa (Masturbation), Indonesisa (masturbasi), Koreasa (마스터베이션 “masutobeyxyon”), Niponsa (マスターベーション “masutabexon”)					FALSE									
masulcudu	derived	b.oj	v.tr: take on (_responsibilities_)	alpreni (_respondecon_)					masul + cudu		masulcu			FALSE	asumir (_responsabilidad_)								
masulgi	derived	b.oj	v.tr: make (_somebody_) responsible (for), put (_somebody_) in charge (of)	respondecigo; respondecigi			responsible, in charge		masul + -gi					FALSE	hacer responsable, poner a cargo								
masulwoju	derived	b.oj	v.tr: handle, deal with, take care of	alpaŝi, trakti, respondeci (pri)			handle, deal, deal with, care, take care, take care of		masul + woju					FALSE	hacerse cargo de, encargarse de								
masulya	derived	b.oj	n: responsibility; v.tr: have the responsibility (to), be responsible (for)	respondeco; respondeci (pri), responsi					masul + -ya					FALSE	responsabilidad; tener responsabilidad (por)								
maxamikugi	derived	b.oj	n: deepening; v.tr: deepen, make (_something_) deeper	profundigo; profundigi					max- + amiku + -gi					FALSE	hacer más profundo, profundizar								
maxbalagi	derived	b.oj	n: strengthening; v.tr: strengthen, make (_something/somebody_) stronger	fortigo; fortigi					max- + bala + -gi					FALSE	fortalecimiento, fortificación; fortalecer, fortificar								
maxbongi	derived	b.oj	n: improvement, betterment; v.tr: improve, (make) better, make (_something/somebody_) better	plibonigo; plibonigi					max- + bon + -gi					FALSE	mejora; mejorar								
maxburgi	derived	b.oj	n: worsening; v.tr: worsen, make (_something/somebody_) worse	malbonigo; malbonigi					max- + bur + -gi					FALSE	empeorar, hacer peor								
maxcotegi	derived	b.oj	n: shortening; v.tr: shorten, make (_something/somebody_) shorter, reduce height (of)	malaltigo; malaltigi					max- + cote + -gi					FALSE	acortamiento; acortar, hacer más corto								
maxdaifugi	derived	b.oj	n: weakening; v.tr: weaken, make (_something/somebody_) weaker	febligo, malfortigo; febligi, malfortigi					max- + daifu + -gi			maxbalagi		FALSE	debilitamiento; debilitar, hacer más débil								
maxdambogi	derived	b.oj	n: thinning, slimming; v.tr: make (_something/somebody_) thinner, make (_something/somebody_) slimmer, make (_something/somebody_) slenderer, make (_something/somebody_) leaner	maldikigo; maldikigi					max- + dambo + -gi					FALSE	adelgazamiento, enflaquecimiento; adelgazar (a) (_hacer más delgado_), enflaquecer (a), enflacar (a)								
maxdaygi	derived	b.oj	n: enlargement; v.tr: enlarge, make (_something/somebody_) bigger, make (_something/somebody_) larger	pligrandigo; pligrandigi					max- + day + -gi					FALSE	agrandamiento, extensión, ensanchamiento, ampliación, aumento, engrandecimiento; agrandar (_hacer más grande_), extender, ensanchar, ampliar, acrecentar, aumentar, engrandecer								
maxgi	derived	b.oj	n: increase; v.tr: increase	pliigo; pliigi					max + -gi			mingi		FALSE	aumento, incremento; aumentar, incrementar								
maxhanmangi	derived	b.oj	n: slowing; v.tr: slow down, make (_something/somebody_) slower	plimalrapidigo; plimalrapidigi					max- + hanman + -gi			maxvelosigi		FALSE	reducción de velocidad, desaceleración, ralentización, ralentización, enlentecimiento, lentificación; reducir la velocidad (de), desacelerar, ralentizar, enlentecer, lentificar								
maxkurtogi	derived	b.oj	n: shortening; v.tr: shorten, make (_something_) shorter, make (_something_) briefer	mallongigo; mallongigi					max- + kurto + -gi					FALSE	acortar								
maxlilgi	derived	b.oj	n: shrinking; v.tr: shrink, make (_something/somebody_) smaller	plimalgrandigo; plimalgrandigi plimalgrandiĝo; plimalgrandiĝi					max- + lil + -gi					FALSE	encoger, achicar, reducir								
maxlungogi	derived	b.oj	n: lengthening, extension; v.tr: lengthen, extend	longigo; longigi					max- + lungo + -gi					FALSE	alargar, prolongar, delongar								
maxmeligi	derived	b.oj	n: beautification; v.tr: beautify, make (_something/somebody_) more beautiful	plibeligo; plibeligi					max- + meli + -gi					FALSE	embellecer, hermosear								
maxpahnagi	derived	b.oj	n: widening; v.tr: widen, make (_something/somebody_) wider	plilarĝigo; plilarĝigi					max- + pahna + -gi					FALSE	ensanchamiento, ampliación, agrandamiento; ensanchar, ampliar, agrandar								
maxusgi	derived	b.oj	n: addition; v.tr: add	aldono; aldoni		matemati			maxus + -gi			minusgi		FALSE	adición, añadidura; añadir								
maxvelosigi	derived	b.oj	n: acceleration; v.tr: accelerate, speed up, quicken	plirapidigo; plirapidigi					max- + velosi + -gi					FALSE	aceleración; acelerar, hacer más rápido								
maydo	root	b.oj	n: sale; v.tr: sell	vendo; vendi		500 maxim pimpan genulexi ji fikso, bage 2 de lista 500, ekonomi			Putunhwa (卖掉 “mài diào”), Koreasa (매도 “maedo”)			kari		TRUE	venta; vender								
medis	root	b.oj	n: medicine (_science, practice_), medical practice; v.tr: treat (_practice medicine on_)	medicino; kuraci		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500, profesi			Englisa (medicine), Fransesa (médecine), Doycisa (Medizin), Rusisa (медицина “meditsina”), Espanisa (medicina), Pilipinasa (medisina)					TRUE	medicina (_ciencia_); tratar								
medisente	derived	b.oj	n: medication, medicine; v.tr: medicate (_treat with medication_)	medikamento, kuracilo; medikamenti		medis			medis + ente					FALSE	medicamento; medicar								
mehmangi	derived	b.oj	n: hosting; v.tr: host	gastigo; gastigi					mehman + -gi					FALSE	hospedar								
meligi	derived	b.oj	v.tr: beautify, make (_something/somebody_) beautiful	beligo; beligi					meli + -gi					FALSE	embellecer, hermosear								
memori	root	b.oj	n: memory, recollection; v.tr: remember, recall	memoro; memori		500 maxim pimpan genulexi ji fikso, bage 2 de lista 500			Englisa (memory), Fransesa (mémoire), Espanisa (memoria), Indonesisa (memori), Pilipinasa (memorya), Niponsa (メモリ “memori”), Koreasa (메모리 “memori”)			wanji		TRUE	memoria, recuerdo; recordar, acordarse de								
memorigi	derived	b.oj	n: reminder; v.tr: remind	memorigo; memorigi					memori + -gi					FALSE	recordatorio; (hacer) recordar								
mena	root	b.oj	n: meaning, sense; v.tr: mean	signifo; signifi		500 maxim pimpan genulexi ji fikso, bage 4 de lista 500, basalogi			Arabisa (معنى “maenaa”), Swahilisa (maana), Parsisa (معنی “mani”, “mana”), Turkisa (manâ), Hindi (मअनी “maani”), Englisa (mean)					TRUE	significado, sentido; significar								
menagi	derived	b.oj	n: definition; v.tr: define	difino; difini					mena + -gi					FALSE	definición; definir								
meniki	root	b.oj	n: immunity; v.tr: immunize, immunise	imuneco; imunigi		medis			Putunhwa (免疫 “myenyi”), Niponsa (免疫 “meneki”), Vyetnamsa (miễn dịch), Koreasa (면역 “myonyok”), Parsisa (ایمنی “imeni”)					TRUE	inmunidad; inmunizar								
menxar	root	b.oj	n: saw (_tool_); v.tr: saw	segilo; segi		tul			Arabisa (مِنْشَار “minxar”), Parsisa (منشار “menxar”), Azerbayjansa (mişar)					TRUE	sierra (_herramienta_)								
mesaje	root	b.oj	n: message, text (message); v.tr: (send) message, (send) text	mesaĝo, mesaĝeto, tekstmesaĝo; mesaĝi		500 maxim pimpan genulexi ji fikso, bage 4 de lista 500			Englisa (message), Fransesa (message), Espanisa (mensaje), Rusisa (месседж “messedj”), Malaysisa (mesej), Pilipinasa (mensahe), Hindi (मेसेज “mesej”), Turkisa (mesaj), Niponsa (メッセージ “messēji”), Koreasa (메시지 “mesiji”)					TRUE	mensaje; enviar mensaje, textear								
meter	root	b.oj	n: measuring device; v.tr: measure	mezurilo; mezuri					Englisa (thermometer), Fransesa (thermomètre), Doycisa (Thermometer, Messer), Rusisa (термометр “termometr”), Espanisa (termómetro), Indonesisa (termometer), Hindi (थर्मामीटर “tarmamitar”), Turkisa (termometre), Elinisa (μέτρο “metro”)					TRUE	instrumento de medición; medir								
meykapu	root	b.oj	n: makeup; v.tr: apply makeup	ŝminko; ŝminki (sin)					Englisa (makeup), Pilipinasa (meykap), Niponsa (メイクアップ “mekuapu”), Koreasa (메이크업 “meykuop”)					TRUE	maquillaje; maquillar								
mezadu	root	b.oj	n: auction; v.tr: auction (off)	aŭkcio; aŭkcii		ekonomi			Arabisa (مَزَاد “mazād”, مُزَايَدَة “muzāyada”), Turkisa (müzayede, mezat), Parsisa (مزایده “mozâyede”)					TRUE	subasta; subastar								
mingi	derived	b.oj	n: decrease, reduction; v.tr: decrease, reduce	malpliigo; malpliigi					min + -gi					FALSE	reducción, disminución, baja; reducir, disminuir, bajar								
mingugi	derived	b.oj	n: clarification; v.tr: clarify	klarigo; klarigi					mingu + -gi					FALSE	aclaración; aclarar								
minusgi	derived	b.oj	n: subtraction, deletion; v.tr: subtract, delete	depreno, forigo; depreni, forigi		matemati			minus + -gi			maxusgi		FALSE	sustracción; sustraer								
mixtura	root	b.oj	n: mixture, blend; v.tr: mix, blend	miksaĵo; miksi		500 maxim pimpan genulexi ji fikso, bage 5 de lista 500			Englisa (mixture), Doycisa (Mischung), Fransesa (mixture), Espanisa (mixtura), Rusisa (микстура “mikstura”), Hindi (मिश्रण “mixran”), Telugusa (మిశ్రమం “mixramam”)					TRUE	mezcla; mezclar								
modera	root	b.oj	n: moderation; v.tr: moderate, temper	modero, kontrolo; moderigi, kontroli					Englisa (moderation, moderator), Espanisa (moderación, moderador), Fransesa (modération, modérateur), Rusisa (модерация “moderatsiya”, модератор “moderator”), Doycisa (Moderation, Moderator), Indonesisa (moderasi, moderator), Hindi (मॉडरेटर “modaretar”), Telugusa (మోడరేటర్ “modaretar”), Parsisa (مدیر “modir”), Turkisa (moderasyon, moderatör), Niponsa (モデレーション “moderexon”, モデレーター “modereta”)					FALSE	moderación; moderar, templar								
mogoki	root	b.oj	n: witnessing; v.tr: witness (_be witness to_)	okulvidi, spekti, vidi (okazon)		ganci			Niponsa (目擊 “mokugeki”), Koreasa (목격 “mokgyok”), Putunhwa (目击 “muji”)					FALSE	presenciar, observar, ser testigo (de)								
momyagi	derived	b.oj	n: mummification; v.tr: mummify	mumiigo; mumiigi					momya + -gi					FALSE	momificación; momificar		momification; momifier						
monhare	derived	b.oj	v.tr: comprise, consist (of)	konsisto; konsisti					mon + hare					FALSE	constar de, componerse de, consistir de, estar hecho de								
moni	root	b.oj	n: checking, monitoring, examination, inspection; v.tr: check, monitor, examine, inspect	kontrolo, inspekto, ekzameno; kontroli, inspekti, revizii, ekzameni					Englisa (monitor), Fransesa (moniteur), Doycisa (Monitor), Rusisa (монитор “monitor”), Espanisa (monitor), Turkisa (monitör), Indonesisa (monitor), Pilipinasa (monitor), Niponsa (モニター “monitā”), Koreasa (모니터 “monito”), Parsisa (مانیتور “mânitor”)					TRUE	revisión, chequeo, inspección, monitoreo; revisar, chequear, inspeccionar, monitorear								
monidoxo	derived	b.oj	n: proofreading; v.tr: proofread	provlegado; provlegi					moni + doxo					FALSE									
monkrea	derived	b.oj	n: constitution, composition, formation, makeup; v.tr: constitute, compose, form, make up	konstitui, fari, konsistigi					mon + krea					FALSE	constituir, componer, formar								
mopu	root	b.oj	n: mop; v.tr: mop	ŝvabrilo; ŝvabri		tul			Englisa (mop), Doycisa (Mopp), Niponsa (モップ “mopu”)					TRUE	mopa, trapeador; trapear, fregar								
morfo	root	b.oj	n: morphology (_biological, geological, mathematical, or linguistic form and structure_), inflection, conjugation, declension; v.tr: inflect, conjugate, decline	morfologiaĵo, fleksio, deklinacio, kunjugacio; fleksii, deklinacii, konjugacii		basalogi, jismulogi		kompara: figura, forma	Englisa (morphology), Espanisa (morfología), Fransesa (morphologie), Rusisa (морфология “morfologiya”), Doycisa (Morphologie), Portugalsa (morfologia), Italisa (morfologia), Indonesisa (mofologi), Pilipinasa (morpolohiya), Arabisa (مُورْفُولُوجِيَا “murfulujiya”), Turkisa (morfoloji), Swahilisa (mofolojia)					TRUE	morfología, flexión, declinación, conjugación; declinar, conjugar	Morphologie, Flexion, Beugung, Biegung, Deklination, Konjugation; flektieren, beugen, deklinieren, konjugieren	morphologie, flexion, conjugaison, déclinaison; infléchir, conjuguer, décliner	морфология, флексия, окончание, спряжение, склонение; спрягать, склонить	形态, 词形变化, 变位, 变格				
morgi	derived	b.oj	n: kill, killing (_countable_), murder; v.tr: kill, murder	mortigo; mortigi					mor + -gi					FALSE	matanza, asesinato; matar, asesinar								
morgiseza	derived	b.oj	n: death penalty; v.tr: punish by death	mortpuno; mortpuni					morgi + seza					FALSE	pena de muerte								
motegi	derived	b.oj	v.tr: thicken, make (_something/somebody_) thick	dikigo; dikigi					mote + -gi					FALSE	engrosamiento, espesamiento; engrosar, espesar								
motsu	root	b.oj	n: friction; v.tr: rub	froto; froti		fisika			Putunhwa (摩擦 “mótsā”), Niponsa (摩擦 “masatsu”)					TRUE	fricción; frotar, friccionar								
moxwere	root	b.oj	n: consultation; v.tr: consult (with)	konsulto; konsulti					Hindi (मशविरा “maxvira”), Arabisa (مُشَاوَرَة “muxawara”), Swahilisa (shauri; -shauri), Parsisa (مشاوره “mošâvere”, مشورت “mašvarat”), Turkisa (meşveret, müşavere)					FALSE	consulta; consultar (con)								
mule	root	b.oj	n: grinding, milling; v.tr: grind, mill	muelado; mueli					Espanisa (molino, moler), Fransesa (moulin, moudre), Rusisa (молоть “molot”), Doycisa (Mühle, mahlen), Pilipinasa (mulihan), Putunhwa (磨 “mwo”), Englisa (mill), Niponsa (ミル “miru”)					TRUE	molienda, molido, triturado; moler, triturar, pulverizar, machacar								
musigi	derived	b.oj	v.tr: compel	devigo; devigi					musi + -gi					FALSE	obligar, compeler								
