Word	slug_mod	Category	WordClass	VerbTransitivity	OfficialWord	TranslationEng	SearchTermsEng	TranslationEpo	TranslationSpa	TransNote	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	See Also	TranslationFra	TranslationRus	TranslationZho	
kancerdo		derived	t		FALSE	cancerous		kancera	canceroso							kancer + -do					
kancerente		derived	b		FALSE	carcinogen		kancerigilo, kancerogeno	cancerígeno (_sustancia_)							kancer + -ente					
kancerne		derived	t		FALSE	carcinogenic; carcinogenically		kanceriga, kancerogena	cancerígeno (_que causa cáncer_)							kancer + -ne					
kandela		root	b		TRUE	candela, cd		kandelo (mezurunuo)	candela (_unidad de intensidad luminosa_), cd		Candela				meterya	Englisa (candela), Espanisa (candela), Fransesa (candela), Rusisa (кандела “kandela”), Doycisa (Candela), Indonesisa (kandela), Pilipinasa (kandela), Putunhwa (坎德拉 “kandela”), Hindi (कैण्डेला “kendela”), Arabisa (قنديلة “kandila”), Niponsa (カンデラ “kandera”), Turkisa (kandela), Koreasa (칸델라 “kandella”), Vyetnamsa (candela), Parsisa (کاندلا “kandela”), Swahilisa (kandela)		candela	кандела	坎德拉	
kandidato		root	b		TRUE	candidate		kandidato	candidato							Doycisa (Kandidat), Englisa (candidate), Espanisa (candidato), Fransesa (candidat), Rusisa (кандидат “kandidat”), Indonesisa (kandidat), Pilipinasa (kandidato), Parsisa (کاندید “kandid”)					
kanguru		root	b		TRUE	kangaroo		kanguruo	canguro, _Macropodidae_						hewan	Englisa (kangaroo), Espanisa (canguro), Fransesa (kangourou), Rusisa (кенгуру “kenguru”), Doycisa (Känguru), Indonesisa (kanguru), Pilipinasa (kangguru), Hindi (कंगारू “kangaru”), Arabisa (كَنْغَر “kangar”), Niponsa (カンガルー “kangaru”), Telugusa (కంగారూ “kangaru”), Turkisa (kanguru), Koreasa (캥거루 “kengoru”), Vyetnamsa (canguru), Parsisa (کانگورو “kanguru”), Swahilisa (kangaruu), Guguyimitirsa (gangurru)					
kanho		root	b.oj		TRUE	nursing; nurse		flego; flegi	cuidado, atención, asistencia; cuidar, atender, asistir						medis, profesi	Putunhwa (看护 “kānhù”), Koreasa (간호 “ganho-”), Niponsa (看護 “kango”)					
kanhodo		derived	t		FALSE	nursed		flegita; flegite	cuidado, atendido, asistido							kanho + -do					
kanhoyen		derived	b		FALSE	nurse		flegisto, flegistino	enfermero							kanho + -yen					
kanmun		root	b		TRUE	anus		anuso, postaĵotruo	ano						jismulogi	Putunhwa (肛门 “gāngmén”), Niponsa (肛門 “kōmon”), Koreasa (항문 “hangmun”), Vyetnamsa (hậu môn)					
kanmunli		derived	t		FALSE	anal; anally		anusa, postaĵotrua; anuse, postaĵotrue	anal							kanmun + -li					
kanoe		root	b		TRUE	canoe		kanuo, kanoto	canoa		Kanu				calyo	Englisa (canoe), Espanisa (canoa), Fransesa (canoë), Rusisa (каноэ “kanoe”), Doycisa (Kanu), Indonesisa (kano), Pilipinasa (kano, kanoe), Arabisa (قارب الكانو “karib alkanu”), Niponsa (カヌー “kanu”), Turkisa (kano), Koreasa (카누 “kanu”), Parsisa (کانو “kanu”)					
kanon		root	b		FALSE	canon (_literature, religion_)		kanono (_belarta, religia_)	canon						palalogi, dini	Englisa (canon), Espanisa (canon), Fransesa (canon), Rusisa (канон “kanon”), Doycisa (Kanon), Indonesisa (kanon, canon), Pilipinasa (kanon), Hindi (क़ानून “kanun”), Arabisa (قَانُون “qanun”), Swahilisa (kanuni), Parsisa (کانن “kanon”), Turkisa (kanon), Koreasa (캐논 “kenon”), Niponsa (カノン “kanon”)					
kantaka		root	b		TRUE	thorn, barb, prickle		dorno, piko	espina, púa, pincho, ahuate; espinar, picar, punzar						plantalogi, xey	Englisa (acantha, acantho-), Hindi (काँटा “kanta”), Telugusa (కంటకము “kantakamu”)					
kantalupu		root	b		TRUE	cantaloupe		kantalupo	melón, _Cucumis melo_, cantalupo, melón calameño						fruta, yamxey	Englisa (cantaloupe), Fransesa (cantaloup), Doycisa (Kantalupe), Rusisa (канталупа “kantalupa”), Espanisa (cantalupo), Pilipinasa (kantalupo), Niponsa (キャンタロープ “kyantarōpu”), Koreasa (잔달오읍어 “jandaroeubeo”), Swahilisa (kantalupu), Turkisa (kantalup)					
kanu		root	b		TRUE	stem, stalk, trunk (_tree_)		tigo, trunko	tallo, tronco						plantalogi	Putunhwa (干 “gàn”), Niponsa (幹 “kan”)					
kanyon		root	b		TRUE	canyon, gorge		kanjono	cañón, desfiladero						geografi	Englisa (canyon), Espanisa (cañón), Fransesa (canyon “kanyon”), Rusisa (каньон “kanon”), Doycisa (Canyon), Pilipinasa (kanyon), Turkisa (kanyon), Parsisa (کانیون “kânion”)					
kaos		root	b		TRUE	chaos		ĥaoso, kaoso	caos							Englisa (chaos), Doycisa (Chaos), Fransesa (chaos), Espanisa (caos), Rusisa (хаос “haos”), Turkisa (kaos), Indonesisa (khaos), Niponsa (カオス “kaosu”)					
kaospul		derived	t		FALSE	chaotic; chaotically		ĥaosa, kaosa; ĥaose, kaose	caótico; caóticamente			kaossim				kaos + -pul					
kaossim		derived	t		FALSE	chaotic; chaotically		ĥaoseca, kaoseca; ĥaosece, kaosece	caótico; caóticamente			kaospul				kaos + -sim					
kapa		root	b		TRUE	cape, cloak		mantelo	capa (_vestidura_)						labas	Englisa (cape), Espanisa (capa), Fransesa (cape), Doycisa (Cape), Niponsa (ケープ “kepu”)					
kapala		root	b		TRUE	skull, cranium		kranio, skeletkapo	cráneo, calavera						jismulogi	Indonesisa (batok kepala), Hindi (कपाल “kapal”), Telugusa (కపాలము “kapalamu”). Am kompara: kapi, kapuco.	Turkisa (kafatası), Espanisa (calavera), Parsisa (کله “kalle”)				
kapi		root	b		TRUE	head, top		kapo	cabeza, cima, parte de arriba						jismulogi	Espanisa (cabeza), Rumanisa (cap), Turkisa (kafa), Indonesisa (kepala)					
kapibara		root	b		TRUE	capybara, _Hydrochoerus_		kapibaro	capibara, chigüire, carpincho, _Hydrochoerus hydrochaeris_						hewan, nageyen	Englisa (capybara), Fransesa (capybara), Doycisa (Capybara), Vyetnamsa, Espanisa (capibara), Indonesisa (kapibara), Pilipinasa (kapibara), Turkisa (kapibara), Swahilisa (kapibara), Hindi (कैपीबारा “kepibara”), Niponsa (カピバラ “kapibara”), Koreasa (카피바라 “kapibara”), Parsisa (کَپی‌بارا “kapibara”)					
kapiexfon		derived	b		FALSE	headphones		kapaŭskultiloj, kapaŭdiloj	audífonos (de diadema)							kapi + ex- + -fon					
kapikusen		derived	b		FALSE	pillow		kapkuseno, kuseno, litkuseno	almohada							kapi + kusen					
kapital		root	b		TRUE	capital (_wealth_)		kapitalo	capital (_riqueza_)							Doycisa (Kapital), Englisa (capital), Espanisa (capital), Fransesa (capital), Rusisa (капитал “kapital”), Indonesisa (kapital), Pilipinasa (kapital), Turkisa (kapital), Niponsa (キャピタリズム “kyapitarizumu”), Parsisa (کپیتالیسم “kapitâlism”)					
kapitalismo		derived	b		FALSE	capitalism		kapitalismo	capitalismo						politi	kapital + -ismo					
kapitalista		derived	b		FALSE	capitalist		kapitalisto	capitalista							kapital + -ista					
kapo		root	b		TRUE	cape (_geography_)		kabo	cabo (_geografía_)						geografi	Englisa (cape), Espanisa (kabo), Fransesa (cap), Koreasa (갑 “gap”), Gwondunsa (岬 “gaap”)					
kapuco		root	b		TRUE	hood		kapuĉo	gorro, capucha						labas	Espanisa (capucha), Fransesa (capuche, capuchon), Rusisa (капюшон “kapyuxon”), Doycisa (Kapuze), Pilipinasa (kaputsa), Turkisa (kapüşon), Parsisa (کاپشن “kapxen”), Swahilisa (kapuchini)					
Kara		proper word	su n		FALSE	Kara		Karaa rivero, Karaa maro	Kara (_mar_)							Rusisa (Кара “Kara”), Espanisa (Kara), Fransesa (Kara), Doycisa (Kara - nahir Kara, Karasee - bahari Kara), Indoneisa (Kara), Swahilisa (Kara), Turkisa (Kara), Vyetnamsa (Kara), Hindi (कारा “Kara”), Arabisa (كارا “Kara”), Parsisa (کارا “Kara”), Putunhwa (喀拉 “Kala”), Koreasa (카라 “Kara”), Niponsa (カラ “Kara”)			Кара		
karakal		root	b		FALSE	caracal		karakalo (_besto_)	caracal, _Caracal_						hewan, myaw	Englisa (caracal), Espanisa (caracal), Fransesa (caracal), Rusisa (каракал “karakal”), Doycisa (Karakal), Indonesisa (karakal), Pilipinasa (caracal), Niponsa (カラカル “karakaru”), Tamilsa (கறகால் பூனை “karagal punay”), Turkisa (karakulak), Koreasa (카라칼 “karakal”)					
karamel		root	b		TRUE	caramel		karamelo	caramelo		Karamell, Caramel				yamxey, sawsa	Englisa (caramel), Fransesa (caramel), Doycisa (Karamell), Vyetnamsa (caramen), Espanisa (caramelo), Indonesisa (karamel), Pilipinasa (karamelo), Hindi (कैरमेल “kermel”), Arabisa (كَرَامِيل “karamil”), Niponsa (キャラメル “kyarameru”), Telugusa (కార్మెల్ “karmel”), Turkisa (karamel), Koreasa (캐러멜 “keramel”), Parsisa (کارامل “karamel”)					
karanfu		root	b		FALSE	clove, _Syzygium aromaticum_		kariofilo, sizigio	árbol del clavo, clavo de olor, clavero, _Syzygium aromaticum_						hoxinlyo, planta	Arabisa (قَرَنْفُل “qaranful”), Swahilisa (karafuu), Parsisa (قرنفل “qaranfol”), Turkisa (karanfil), Tamilsa (கிராம்பு “kirambu”), Makedonisa (каранфил “karanfil”)					
karaoke		root	b		TRUE	karaoke		karaokeo	karaoke						musika	Niponsa (カラオケ “karaoke”), Englisa (karaoke), Espanisa (karaoke), Doycisa (Karaoke), Indonesisa (karaoke), Pilipinasa (karaoke), Turkisa (karaoke), Vyetnamsa (karaoke), Swahilisa, Fransesa (karaoké), Rusisa (караоке “karaoke”), Putunhwa (卡拉OK “kalaowkey”), Hindi (कराओके “karaoke”), Arabisa (كَارَيُوكِي “karayoke”), Telugusa (కరావోకే “karavoke”), Koreasa (가라오케 “garaoke”), Parsisa (کارائوکه “karaoke”, کارائوکی “karaoki”)					
karar		root	b.oj		TRUE	decision; decide		decido; decidi	decisión; decidir							Arabisa (قرار “karar”), Turkisa (karar), Parsisa (قرار “karar”)					
kararfil		derived	t		FALSE	decisive; decisively		decida, decidanta; decide, decidante	decidido, resuelto; decididamente, resueltamente							karar + -fil					
kararpul		derived	t		FALSE	determined (_with determination_)		decidema; decideme	decidido, resuelto; decididamente, resueltamente							karar + -pul					
karate		root	b		TRUE	karate		karateo	karate							Niponsa (空手 “karate”), Englisa (karate), Espanisa (karate), Doycisa (Karate), Indonesisa (karate), Pilipinasa (karate), Turkisa (karate), Vyetnamsa (karate), Turkisa (karate), Rusisa (карате “karate”), Hindi (कराटे “karate”), Arabisa (كَارَاتِيه “karatih”), Telugusa (కరాటే “karate”), Koreasa (가라테 “garade”), Parsisa (کاراته “karate”)					
karavan		root	b		TRUE	caravan		karavano	caravana		Karawane				grupo	Englisa (caravan), Espanisa (caravana), Fransesa (caravane), Rusisa (караван “karavan”), Doycisa (Karawane), Pilipinasa (karabana), Hindi (कारवाँ “karvan”), Niponsa (キャラバン “kyaraban”), Telugusa (కారవాన్ “karavan”), Turkisa (kervan), Koreasa (카라반 “karaban”), Parsisa (کاروان “karvan”)					
karawi		root	b		TRUE	caraway, _Carum carvi_		karvio	alcaravea, alcarravea, alcarabia, alcaravia, alcarovea, alcorobea, carvi(a), carvía, caravai, comino (de prado), hinojo (de prado), alcaraveta, alcarabaca, alcarahueya, caros, _Carum carvi_						planta	Englisa (caraway), Espanisa (alcaravea), Fransesa (carvi), Portugalsa (alcaravia), Italisa (carvi), Arabisa (كَرَاوِيَا “karawiya”, كَرَوْيَاء “karawyā”), Telugusa (కారవి “karavi”), Tamilsa (கேக்குவிரை “kekuviray”), Koreasa (캐러웨이 “kelowey”), Parsisa (کراویا “karâviyâ”)					
karay		root	t		TRUE	spicy, hot		pikanta; pikante	picante						xetocu	Niponsa (辛い “karai”), Telugusa (కారమైన “karamaina”, కారంగా “karanga”), Vyetnamsa (cay)					
karayje		derived	b		FALSE	spiciness, pungency		(grado de) pikanteco	picor, sabor picante, pungencia							karay + -je					
karayya		derived	b		FALSE	spiciness		pikanteco	picor, sabor picante, pungencia							karay + -ya					
karbon		root	b		TRUE	carbon, C		karbono	carbono, C						kimikali monlari	Englisa (carbon), Hindi (कार्बन “karban”, कारबन “karban”), Espanisa (carbono), Arabisa (كَرْبُون “karbun”), Fransesa (carbone), Indonesisa (karbon), Telugusa (కార్బన్ “karban”), Turkisa (karbon), Vyetnamsa (cacbon), Parsisa (کربن “karbon”), Swahilisa (kaboni), Pilipinasa (karbon, karbono)					
kardu		root	b.oj		TRUE	loan; loan, lend, borrow		prunto; prunti (al/de)	préstamo						ekonomi	Arabisa (قرض “qarḍ”), Parsisa (قرض گرفتن “qarz gereftan”, قرض دادن “qarz dâdan”) 					
karducudu		derived	b.oj		FALSE	borrow		deprunto; deprunti, prunti de, prunti	tomar prestado							kardu + cudu					
karducududo		derived	t		FALSE	borrowed		depruntita; depruntite	prestado							karducudu + -do					
kardugibe		derived	b.oj		FALSE	loan; lend		alprunto; alprunti, pruntedoni, prunti	prestar							kardu + gibe					
kardugibedo		derived	t		FALSE	loaned		alpruntita; alpruntite	prestado							kardugibe + -do					
kardulexi		derived	b		FALSE	loan word		pruntvorto	préstamo (lingüístico)							kardu + -lexi					
karduli basatayti		derived	b		FALSE	calque, loan translation		paŭso, tradukprunto, prunta traduko, kalkeo	calco (_traducción_)							kardu + -li, basatayti					
kareto		root	b		TRUE	cart, wheelbarrow		ĉaro, ĉarumo	carretilla						calyo, tul	Doycisa (Karre), Englisa (cart), Espanisa (carreta, carretón), Fransesa (charrette), Italisa (carretto), Hindi (कार्ट “kart”), Indonesisa (kereta), Pilipinasa (kariton), Niponsa (カート “kato”), Koreasa (카트 “katu”) 					
kargux		root	b		TRUE	rabbit, hare, _Leporidae_		kuniklo, leporo	conejo, _Leporidae_						hewan	Hindi (खरगोश “khargosh”), Parsisa (خرگوش “hargux”)					
kargux ci		derived	b		FALSE	bunny		kunikleto, kuniĉjo, kuninjo	conejito							kargux, ci					
kari		root	b.oj		TRUE	purchase; buy, purchase, shop		aĉeto; aĉeti	compra; comprar						ekonomi	Hindi (खरीद “kharid”), Parsisa (خرید “kharid”, خر “khar”)					
Karibe		proper word	su n		FALSE	Caribbean		Karibio	Caribe (_mar, región_)							Englisa (Caribbean), Jameykasa (Kiaribiyan), Hindisa (कैरेबियन “kerabiyan”), Espanisa (Caribe), Fransesa (Caraïbes), Haytikreol (Karayib), Portugalsa (Caribe), Papyamentu (Karibe), Nederisa (de Caraïben), Rusisa (Карибы “Karibi”), Indonesisa (Karibia), Pilipinasa (Karibe), Telugusa (కరిబియన్ “Karibiyan”), Arabisa (كَارِيبِيّ “karibiy”), Swahilisa (Karibi), Parsisa (کارائیب “kârâib”), Turkisa (Karayip), Putunhwa (加勒比 “jyalebi”), Koreasa (카리브 “Karibu”), Niponsa (カリブ “Karibu”), Vyetnamsa (Ca-ri-bê)			Карибы		
karido		derived	t		FALSE	purchased, bought		aĉetita; aĉetite	comprado, adquirido							kari + -do					
kariible		derived	t		FALSE	for sale, buyable		aĉetebla; aĉeteble	en venta							kari + -ible					
karisma		root	b		FALSE	charisma		karismo	carisma							Englisa (charisma), Espanisa (carisma), Fransesa (charisme), Rusisa (харизма “harizma”), Doycisa (Charisma), Indonesisa (karisma), Parsisa (کاریزما “kârizmâ”), Turkisa (karizma), Koreasa (카리스마 “kalisuma”), Niponsa (カリスマ “karisuma”)					
karismapul		derived	t		FALSE	charismatic		karisma; karisme	carismático							karisma + -pul					
kariyen		derived	b		FALSE	buyer		aĉetanto	comprador							kari + -yen					
karkumbu		root	b		FALSE	tit, chickadee, titmouse, _Paridae_		paruo	carbonero, herrerillo, pájaro moscón, _Paridae_						hewan, piu	Arabisa (قُرْقُب “qurqub”, قرقف “qarquf”), Swahilisa (kabumbu)					
Karlo		proper word	su n		FALSE	Carl		Karolo	Carlos						name	Englisa (Charles, Carl), Espanisa (Carlos), Fransesa (Charles), Rusisa (Карл “Karl”), Doycisa (Karl), Indonesisa (Carolus), Pilipinasa (Carlos), Hindi (चार्ल्स “Carls”), Arabisa (شارل “Xarl”, كارل “Karl”), Swahilisa (Karoli, Karolo), Parsisa (شارل “Xarl”, كارل “Karl”), Turkisa (Şarl, Karl), Putunhwa (嘉禄 “Jyalu”, 查理 “Cali”), Koreasa (가롤로 “Garolo”), Niponsa (カルロ “Karuro”), Vyetnamsa (Ca-rô-lô)			Карл		
karma		root	b		FALSE	karma		karmo	karma						dini	Englisa (karma), Espanisa (karma), Fransesa (karma), Rusisa (карма “karma”), Doycisa (Karma), Indonesisa (karma), Pilipinasa (karma), Hindi (कर्म “karm”), Telugusa (కర్మ “karma”), Arabisa (كَارْمَا “karma”), Turkisa (karma), Parsisa (کارما “karma”), Koreasa (카르마 “karuma”), Niponsa (カルマ “karuma”)					
karmali		derived	t		FALSE	karmic		karma; karme	kármico							karma + -li					
Karmel		proper word	su n		FALSE	Carmel, Carmen		Karmel	Carmen, Carmelo, Carmela						name	Englisa (Carmel), Espanisa (Carmel, Carmen), Fransesa (Carmel), Rusisa (Кармил “Karmil”), Doycisa (Karmel), Indonesisa (Karmel), Pilipinasa (Carmelo, Carmen), Hindi (कर्मेल “Karmel”), Telugusa (కర్మెలు “Karmelu”), Arabisa (كَرْمَلُ “Karmal”), Swahilisa (Karmeli), Parsisa (کرمل “Karmel”), Turkisa (Karmel), Putunhwa (迦密 “Jyami”), Koreasa (갈멜 “Kalmel”), Niponsa (カルメル “Karumeru”), Vyetnamsa (Cạt-mên)			Кармил		
Karnataka		proper word	su n		TRUE	Karnataka (_state in India_)		Karnatako	Karnataka (_estado de India_)							Karnatakasa (ಕರ್ನಾಟಕ “karnataka”)			Карнатака		
Karnatakali		derived	t		FALSE	(of) Karnataka		karnataka, karnata, kanara	canarés, kannada							Karnataka + -li					
Karnatakasa		derived	b		FALSE	Kannada (language)		la kanara (lingvo), la karnata (lingvo), la kannada (lingvo)	(idioma) canarés, (idioma) kannada						basa	Karnataka + -sa					
Karnatakayen		derived	b		FALSE	Kannadiga, Kannadati (person)		karnatakano, kanaro, karnato, kannado	canarés (_persona_)							Karnataka + -yen					
karneval		root	b		FALSE	carnival		karnavalo, karnevalo	carnaval						amusa	Englisa (carnival), Espanisa (carnaval), Fransesa (carnaval), Rusisa (карнавал “karnaval”), Doycisa (Karneval), Indonesisa (karnaval), Pilipinasa (karnabal), Hindi (कार्निवल “karnival”), Keralasa (കാർണിവൽ “karnival”), Parsisa (كَرْنَفَال “karnaval”), Swahilisa (kanivali), Parsisa (کارناوال “kârnâvâl”, کارنوال “kârnevâl”), Turkisa (karnaval), Koreasa (카니발 “kanibal”), Niponsa (カーニバル “kanibaru”), Vyetnamsa (các-na-van)					
karnexon		root	b		FALSE	carnation, clove pink, _Dianthus caryophyllus_		(ĝarden)dianto	clavel, clavellina, clavelito, _Dianthus caryophyllus_						planta, flura	Englisa (carnation), Putunhwa (康乃馨 “kangnayxin”), Koreasa (카네이션 “kaneyxon”), Niponsa (カーネーション “kānēxon”)					
karoca		root	b		TRUE	roach, cockroach, _Blattodea_		blato	cucaracha, _Blattodea_		Schabe, Küchenschabe, Kakerlake				hewan, koncun	Englisa (cockroach), Espanisa (cucaracha), Portugalsa (carocha), Indonesisa (kacoa)		cafard, blatte	таракан, прусак	蜚蠊	
karote		root	b		TRUE	carrot		karoto	zanahoria, azanoria, acenoria, carlota, dauco, pastinaca, _Daucus carota_ subsp. _sativus_						sabzi, yamxey	Englisa (carrot), Fransesa (carrote), Doycisa (Karotte), Vyetnamsa (cà rốt), Swahilisa (karoti), Pilipinasa (karot), Telugusa (కారెట్ “karet”)					
karpe		root	b		FALSE	carp		karpo	carpa, _Cyprinus carpio_, _Carassius carassius_, _Ctenopharyngodon idella_, _Hypophthalmichthys molitrix_, _Hypophthalmichthys nobilis_						hewan, mahi	Englisa (carp), Espanisa (carpa), Fransesa (carpe), Rusisa (карп “karp”), Doycisa (Karpfen), Indonesisa (karper), Pilipinasa (karpa), Banglasa (কার্পু “karpu”), Parsisa (کپور “kapur”)					
Karpentari		proper word	su n		FALSE	Carpentaria		Karpentario	Carpentaria (_golfo_)							Englisa (Carpentaria), Nederisa (Carpentier), Espanisa (Carpentaria), Fransesa (Carpentarie), Doycisa (Carpentaria), Indonesisa (Carpentaria), Swahilisa (Carpentaria), Turkisa (Carpentaria), Vyetnamsa (Carpentaria), Rusisa (Карпентария “Karpentariya”), Arabisa (كاربنتاريا “Karbintarya”), Parsisa (کارپنتاریا “Karpentariya”), Putunhwa (卡奔塔利亞 “Kabentaliya”), Koreasa (카펀테리아 “Kaponteria”), Niponsa (カーペンタリア “Kapentaria”)			Карпентария		
karta		root	b		TRUE	card		karto	tarjeta, carta, naipe						xey	Englisa (card), Fransesa (carte), Doycisa (Karte), Rusisa (карта “karta”), Espanisa (carta), Putunhwa (卡 “kǎ”), Hindi (कार्ड “kārḍ”), Arabisa (كرت “kart”), Indonesisa (kartu), Koreasa (카드 “kadu”), Telugusa (కార్డు “kardu”), Turkisa (kart), Parsisa (کارت‎ “kârt”), Swahilisa (kadi), Pilipinasa (kard)					
karta aya		phrase	b		FALSE	ace (card)		aso (_karto_)	as (_carta_)							karta, aya					
kartel		root	b		TRUE	cartel		kartelo	cartel (_organización ilícita_)						grupo	Englisa (cartel), Espanisa (cartel), Fransesa (cartel), Rusisa (картель “kartel”), Doycisa (Kartell), Indonesisa (kartel), Pilipinasa (kartel), Putunhwa (卡特爾 “kateer”), Arabisa (كارتل “kartil”), Niponsa (カルテル “karuteru”), Turkisa (kartel), Vyetnamsa (cartel), Koreasa (카르텔 “karutel”), Parsisa (کارتل “kartel”)					
karton		root	b		TRUE	cardboard, carton		kartono	cartón						materyal, xey	Englisa (carton), Espanisa (cartón), Fransesa (carton), Rusisa (картон “karton”), Doycisa (Karton), Indonesisa (karton), Pilipinasa (karton), Arabisa (كَرْتُون “kartun”), Turkisa (karton), Vyetnamsa (các tông), Parsisa (کارتن “karton”)					
karusel		root	b		FALSE	merry-go-round, carousel, roundabout		karuselo	carrusel, tiovivo, caballitos							Englisa (carousel), Espanisa (carrusel), Fransesa (carrousel), Rusisa (карусель “karusel”), Doycisa (Karussell), Indonesisa (korsel), Arabisa (كارُوسِيل “karusil”), Niponsa (カルーセル “karūseru”), Parsisa (کاروسِل “kârusel”)					
kasava		root	b		TRUE	cassava, manioc, yuca, _Manihot esculenta_		kasavo, manioko	mandioca, yuca, _Manihot esculenta_						sabzi, yamxey	Englisa (cassava), Doycisa (Kassawa), Pilipinasa (kasaba, cassava), Hindi (कसावा “kasava”), Arabisa (كاساڨا “kasava”), Niponsa (キャッサバ “kyassaba”), Koreasa (카사바 “kasaba”), Parsisa (کاساو “kasav”)					
kasete		root	b		TRUE	cassette		kasedo, kaseto	_cassette_, casete							Englisa (cassette), Espanisa (casete), Fransesa (cassette), Rusisa (кассета “kasseta”), Doycisa (Kassette), Indonesisa (kasét), Pilipinasa (kaset), Putunhwa (卡式 “kaxi”, 卡匣 “kaxya”), Hindi (कैसेट “keset”), Arabisa (كَاسِيت “kaset”, كَاسِيت “kasit”), Niponsa (カセット “kasetto”), Telugusa (క్యాసెట్ “kyaset”), Turkisa (kaset), Vyetnamsa (cát-xét), Koreasa (카세트 “kasetu”), Parsisa (کاست “kaset”), Swahilisa (kaseti)					
kasino		root	b		TRUE	casino		kazino, vetludejo	casino						dom	Englisa (casino), Espanisa (casino), Fransesa (casino), Rusisa (казино “kazino”), Doycisa (Kasino), Indonesisa (kasino), Pilipinasa (kasino), Swahilisa (kasino), Hindi (कसीनो “kasino”), Arabisa (كَازِينُو “kazinu”), Niponsa (カジノ “kajino”), Turkisa (gazino), Koreasa (카지노 “kajino”), Parsisa (کازینو “kazino”)					
kasiru		root	b.oro		TRUE	break; break		rompo; rompi	rompimiento; romper; romperse							Arabisa (يُكَسِّرُ‎ “yukassiru”, كَسَّرَ “kassara”), Turkisa (kasir), Parsisa (کسر “kasr”), Fransesa (casser)					
kasirudo		derived	t		FALSE	broken		rompita; rompite	roto							kasiru + -do					
kaso		root	b		TRUE	case		kazo	caso							Englisa (case), Fransesa (cas), Espanisa (caso), Rusisa (казус “kazus”), Doycisa (Kasus), Indonesisa (kasus), Pilipinasa (kaso)					
Kaspi		proper word	su n		FALSE	Caspian		Kaspio, Kaspia maro	Caspio (_lago_)							Englisa (Caspian), Rusisa (каспийский “kaspiyskiy”), Kazakisa (Каспий “Kapsiy”), Ozbekisa (Kaspiy), Sakartwelosa (კასპიის “kaspiis”), Hayasa (Կասպից “kaspits”), Espanisa (Caspio), Fransesa (Caspienne), Doycisa (Kaspisches, Kaspi), Indonesisa (Kaspia), Pilipinasa (Caspian), Hindi (कैस्पियन “Kespiyan”), Telugusa (కాస్పియన్ “Kaspiyan”), Swahilisa (Kaspi), Koreasa (카스피 “Kasupi”), Niponsa (カスピ “Kasupi”), Vyetnamsa (Caspi)					
kasta		root	b		FALSE	caste		kasto	casta						politi	Englisa (caste), Espanisa (casta), Fransesa (caste), Rusisa (каста “kasta”), Doycisa (Kaste), Indonesisa (kasta), Pilipinasa (kasta), Niponsa (カースト “kasuto”), Turkisa (kast), Koreasa (카스트 “kasutu”), Parsisa (کاست “kâst”)					
kastani		root	b		TRUE	chestnut		kaŝtano	castaña, _Castanea_						yamxey, jozi	Doycisa (Kastanie), Espanisa (castaña), Fransesa (châtaigne), Rusisa (каштан “kaxtan”), Indonesisa (kastanye), Pilipinasa (kastanyas), Arabisa (كَسْتَنَاء “kastana”), Turkisa (kestane)					
kastilo		root	b		TRUE	castle		kastelo	castillo						dom	Englisa (castle), Espanisa (castillo), Indonesisa (kastil), Pilipinasa (kastilyo), Hindi (क़िला “qila”), Telugusa (కోట “kōṭa”), Arabisa (قلعة “qalea”, قَصْر “qaṣr”), Parsisa (قلعه “qal'e”), Turkisa (kale)					
kaswari		root	b		FALSE	cassowary, _Casuarius_		kazuaro	casuario, _Casuarius_						hewan, piu	Englisa (cassowary), Espanisa (casuario), Fransesa (casoar), Rusisa (казуар “kazuar”), Doycisa (Kasuar), Indonesisa (kasuari), Pilipinasa (kasowaryo), Tamilsa (காசோவரி “kasovari”), Parsisa (کاسوآری “kasoari”), Swahilisa (kasowari)					
kata		root	b.oj		TRUE	cut; cut		tranĉo; tranĉi, haki	corte; cortar							Arabisa (قَطَعَ “qataʿa”), Hindi (काटना “katna”), Englisa (cut), Espanisa (cortar), Vyetnamsa (cắt), Koreasa (끊다 “kunta”), Niponsa (割 “katsu”), Swahilisa (-kata)					
katado		derived	t		FALSE	cut		tranĉita; tranĉite	cortado							kata + -do					
katalisi		root	b.oj		TRUE	catalysis; catalyze, catalyse		katalizo; katalizi	catálisis; catalizar		Katalyse					Englisa (catalyse, catalysis), Espanisa (catálisis), Fransesa (catalyse), Rusisa (катализ “kataliz”), Doycisa (Katalyse), Indonesisa (katalis), Pilipinasa (katalisis), Turkisa (kataliz), Parsisa (کاتالیز “kataliz”)		catalyse	катализ		
katalu		root	b		TRUE	katal		katalo	katal (_unidad de actividad catalítica_), kat		Katal				meterya	Englisa (katal), Espanisa (katal), Fransesa (katal), Rusisa (катал “katal”), Doycisa (Katal), Indonesisa (katal), Pilipinasa (katal), Putunhwa (開特 “kayte”), Hindi (कैटल “ketal”), Arabisa (كاتال “katal”), Niponsa (カタール “kataru”), Turkisa (katal), Koreasa (캐탈 “ketal”), Vyetnamsa (katal), Parsisa (کاتال “katal”)		katal	катал	開特	
Katar		proper word	su n		TRUE	Qatar		Kataro	Catar						dexa	Arabisa (قطر “Qaṭar”)			Катар		
