Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
Malaysili,derived,t,FALSE,Malaysian,,malajzia,malasio,,,,,,Malaysi + -li,,,
Malaysisa,derived,t,FALSE,Malaysian (language),,la malajzia (lingvo),malasio (_idioma_),,,,,basa,Malaysi + -sa,,,
Malaysiyen,derived,n,FALSE,Malaysian (person),,malajziano,malasio (_persona_),,,,,,Malaysi + -yen,,,
maldoxo,derived,n/f.oro.a,FALSE,misreading; misread,,mislego; mislegi,leer mal,,,,,,mal- + doxo,,,
maldoyday,derived,n/f.oj,FALSE,"abuse (_drugs, etc._)",,"misuzado; misuzi (_drogojn, ktp._)","abuso (_drogas, etc._)",,,,,,mal + doyday,,,
malfahuri,derived,t,FALSE,arrogant; arrogantly,,"aroga, aroganta; arogante",arrogante; arrogantemente,,,,,,mal- + fahuri,,,
malfahuriya,derived,n,FALSE,arrogance,,arogeco,arrogancia,,,,,,mal- + fahuri + -ya,,,
malfale,derived,n/f.oj,FALSE,misdeed,,misfaro; misfari,"fechoría, felonía",,,,,,mal- + fale,,,
malgida,derived,n/f.oj,FALSE,misguide,,misgvidado; misgvidi,"desorientar, engañar, despistar, informar mal",,,,,,mal- + gida,,,
malharufi,derived,n/f.oj,FALSE,misspelling; misspell,,misliterumo; misliterumi,mala ortografía; deletrear mal,,,,,,mal- + harufi,,,
malhesabu,derived,n/f.oj,FALSE,miscount,,miskalkulo; miskalkuli,error en el cálculo; equivocarse en las cuentas,,,,,,mal- + hesabu,,,
Mali,proper noun,n,TRUE,Mali,,Malio,Malí,,,,,dexa,Fransesa (Mali),,,
Maliyen,derived,n,FALSE,Malian (person),,maliano,maliense (_persona_),,,,,,Mali + -yen,,,
mallide,derived,n/f.oj,FALSE,mislead,,"miskonduko, misdirekto, misgvido; miskonduki, misdirekti, misgvidi","engañar, confundir, falsear",,,,,,mal- + lide,,,
malpala,derived,n/f.oro.a,FALSE,misspeak,,misparolo; misparoli,expresarse mal,,,,,,mal- + pala,,,
Malta,proper noun,n,TRUE,Malta,,Malto,Malta,,,,,dexa,"Maltasa (Malta), Englisa (Malta)",,,
Maltasa,derived,n,FALSE,Maltese (language),,la malta (lingvo),maltés (_idioma_),,,,,basa,Malta + -sa,,,
Maltayen,derived,n,FALSE,Maltese (person),,maltano,maltés (_persona_),,,,,,Malta + -yen,,,
malwatuxey,derived,n,FALSE,anachronism,,"anakronismo, anaĥronismo",anacronismo,,,,,,mal- + watu + -xey,,,
malwatuyen,derived,n,FALSE,anachronism,,"anakronismulo, anaĥronismulo",anacronista,,,,,,mal- + watu + -yen,,,
malxanse,derived,n,FALSE,misfortune,,malbonŝanco,"mala fortuna, mala suerte, infortunio, desgracia",,,,,,mal- + xanse,,,
malxey,derived,n/f.nenoj,FALSE,"error, mistake; err, make a mistake, be mistaken",,eraro; erari,"error; cometer un error, equivocarse, errar",,,,,,mal + -xey,,,
malya,derived,n/f.nenoj,FALSE,"wrongness; be mistaken, be in the wrong","be mistaken, mistaken, be in the wrong, wrong","miseco, malĝusteco, erareco; esti misa, esti malĝusa, esti erara",error; estar equivocado,,,,,,mal + -ya,,,
malyongu,derived,n/f.oj,FALSE,"misuse, waste",,misuzo; misuzi,mal uso,,,,,,mal- + yongu,,,
mama,root,n,TRUE,mom,,panjo,mamá,,,,,,Am oko _matre_.,,,
mama ci,phrase,n,FALSE,mommy,,panjo,mami,,,,,,mama + ci,,,
mamba,root,n,TRUE,"source, spring",,fonto,"origen, fuente, manantial",,,,,,"Arabisa (مَنْبَع ""manba""), Turkisa (memba), Parsisa (منبع ""manba"")",,,
mamo,root,n,TRUE,breast,,mamo,"mama, seno",,,,,jismulogi,"Fransesa (mammographie), Espanisa (mamografía), Englisa (mammography), Doycisa (Mammografie), Rusisa (маммография “mammografiya”), Indonesisa (mamografi), Pilipinasa (mamograpiya), Turkisa (mamografi), Hindisa (मैमोग्राफी “memografi”), Telugusa (మమోగ్రఫీ “mamografi”), Niponsa (マンモグラフィー “manmogurafī”), Parsisa (ماموگرافی “mâmogrâfi”)",,,
mamoyen,derived,n,FALSE,mammal,,"mamulo, mambesto",mamífero,,,,,,mamo + -yen,,,
mamutu,root,n,TRUE,"mammoth, _Mammuthus_",,mamuto,"mamut, _Mammuthus_",,,,,hewan,"Englisa (mammoth), Espanisa (mamut), Fransesa (mammouth), Rusisa (мамонт ""mamont""), Doycisa (Mammut), Indonesisa (mamut), Pilipinasa (mamot), Putunhwa (猛犸 ""mengma""), Arabisa (مَامُوث ""mamuṯ""), Niponsa (マンモス ""mammosu""), Karnatakasa (ಮ್ಯಾಮತ್ ""myamut""), Tamilsa (மாமூத் ""mamut""), Turkisa (mamut), Vyetnamsa (ma mút), Hangusa (매머드 ""memodu""), Parsisa (ماموت ""mâmut"")",,,
man,root,t,TRUE,"male, masculine",,"virseksa, maskla, vira, iĉa; virsekse, maskle, vire, iĉe",masculino,,,,,,"Putunhwa (男 “nán”), Fransesa (masculin), Espanisa (masculino), Englisa (man, masculine), Doycisa (männlich), Hindisa (मर्दाना “mardana”), Parsisa (مردانه “mardane”), Niponsa (男 “nan”), Vyetnamsa (nam), Hangusa (남성 “namsong”)",,,
man-,affix,lfik,TRUE,male,,"vir-, -iĉ-",masculino,,,,,,Am oko _man_.,,,
manbete,derived,n,FALSE,son,,filo,hijo,,,,,,man- + bete,,,
manbwaw,derived,n,FALSE,(male) dog,,virhundo,perro macho,,,,,,man- + bwaw,,,
mandoste,derived,n,FALSE,"boyfriend, guy friend, male friend",,koramiko,amigo,,,,,,man- + doste,,,
maneken,root,n,TRUE,mannequin,,manekeno,maniquí,,,,,,"Englisa (mannequin), Espanisa (maniquí), Fransesa (mannequin), Rusisa (мамекен ""maneken""), Indonesisa (maneken), Arabisa (مَانِيكَان ""manikan""), Turkisa (manken), Vyetnamsa (ma-nơ-canh), Hangusa (마네킹 ""maneking""), Parsisa (مانکن ""mânkan"")",,,
maner,root,n,TRUE,"manner, way",,maniero,"manera, modo",,,,,,"Englisa (manner), Doycisa (Manier), Fransesa (manière), Espanisa (manera), Rusisa (манера “manera”), Niponsa (マナー “mana”)",,,
manerlexi,derived,n,FALSE,adverb,,adverbo,adverbio,,,,,gramati,maner + -lexi,,,
mangami,derived,n,FALSE,husband,,edzo,esposo,,,,,,man- + gami,,,
manganis,root,n,TRUE,manganese,,mangano,"manganeso, Mn",,,,,kimikali monlari,"Englisa (manganese), Putunhwa (錳 “meng”), Hindisa (इंगनी “ingni”), Espanisa (manganeso), Arabisa (مَنْجَنِيز “manganiz”), Fransesa (manganèse), Rusisa (марганец “manganets”), Indonesisa (mangan), Doycisa (Mangan), Niponsa (マンガン “mangan”), Telugusa (మేంగనీస్ “menganis”), Turkisa (mangan), Hangusa (망간 “mangan”, 망가니즈 “manganiju”), Vyetnamsa (mangan), Parsisa (منگنز “mangenez”), Swahilisa (manganisi), Pilipinasa (mangganeso, manganese)",,,
mango,root,n,TRUE,mango,,mango,"mango, _Mangifera indica_",,,,,"fruta, yamxey","Englisa (mango), Espanisa (mango), Fransesa (mangue), Rusisa (манго “mango”), Doycisa (Mango), Arabisa (منجة “manga”), Turkisa (mango), Niponsa (マンゴー “mango”), Hangusa (망고 “mango”), Indonesisa (mangga), Pilipinasa (mangga), Tamilsa (மாங்காய் “mankay”)",,,
mangwafu,derived,n,FALSE,widower,,vidvo,viudo,,,,,,man- + gwafu,,,
manhirxa,derived,n,FALSE,"stag, buck",,vircervo,ciervo (macho),,,,,,man- + hirxa,,,
manika,root,n,TRUE,mania,,manio,manía,,,,,,"Englisa (mania, manic), Espanisa (manía, maniático), Fransesa (manie, maniaque), Rusisa (маниакальный ""maniakalniy""), Doycisa (Manie), Portugalsa (mania), Italisa (mania), Indonesisa (mania), Turkisa (mani), Vyetnamsa (mania), Parsisa (مِینیا ""maniya"")",,,
Manipur,proper noun,n,TRUE,Manipur (_state in India_),,Manipuro,Manipur (_estado de India_),,,,,,Manipursa (ꯃꯅꯤꯄꯨꯔ “manipur”),,,
Manipurli,derived,t,FALSE,Manipuri,,manipura,manipuri,,,,,,Manipur + -li,,,
Manipursa,derived,n,FALSE,"Meitei, Manipuri, Meitheilon, Kathe (language)",,la manipura (lingvo),manipuri (_idioma_),,,,,basa,Manipur + -sa,,,
Manipuryen,derived,n,FALSE,"Meitei, Manipuri (person)",,manipurano,manipuri (_persona_),,,,,,Manipur + -yen,,,
manixu,derived,n,FALSE,man,,viro,hombre,,,,,,man- + ixu,,,
mankuzin,derived,n,FALSE,(male) cousin,,kuzo,primo,,,,,,man- + kuzin,,,
manlilbete,derived,n,FALSE,grandson,,nepo,nieto,,,,,,man- + lil- + bete,,,
manmeme,derived,n,FALSE,ram,,virŝafo,carnero,,,,,,man- + meme,,,
manmumu,derived,n,FALSE,bull,,virbovo,toro,,,,,,man- + mumu,,,
mannepoti,derived,n,FALSE,nephew,,nevo,sobrino,,,,,,man- + nepoti,,,
mannini,derived,n,FALSE,boy,,knabo,niño,,,,,,man- + nini,,,
manprince,derived,n,FALSE,prince,,prinĉo,príncipe,,,,,,man- + prince,,,
mansenyor,derived,n,FALSE,"gentleman, sir, Mr.",,sinjoro,señor,,,,,,man- + senyor,,,
mansodar,derived,n,FALSE,brother,,frato,hermano,,,,,,man- + sodar,,,
mante,derived,pn,FALSE,he,,li,él,,,,,,man + te,,,
mantie,derived,n,FALSE,uncle,,onklo,tío,,,,,,man- + tie,,,
mantol,root,n,TRUE,mantle,,mantelo,manto,,,,,,"Englisa (mantle), Espanisa, Fransesa, Rusisa, Doycisa, Turkisa, Niponsa, Hangusa, Parsisa",,,
manuma,derived,n,FALSE,"stallion, male horse",,virĉevalo,caballo macho,,,,,,man- + uma,,,
manwangu,derived,n,FALSE,king,,reĝo,rey,,,,,,man- + wangu,,,
manya,derived,n,FALSE,masculinity,,vireco,masculinidad,,,,,,man + -ya,,,
manyen,derived,n,FALSE,"male, man, young man, guy, boy",,(vir)ulo,"hombre, niño",,,,,,man + -yen,,,
mapa,root,n,TRUE,"mom, dad, folks (_parents_)",,"paĉjo, panjo",mamá y/o papá,,,,,famil,Am oko _mama_ ji _papa_.,,,
mapa ci,phrase,n,FALSE,"mommy, daddy",,"paĉjo, panjo","mami, papi",,,,,,mapa + ci,,,
maple,root,n,TRUE,maple,,acero,"arce, _Acer_",,,,,planta,"Englisa (maple), Indonesisa (maple), Niponsa (メープル ""mepuru""), Maharaxtrasa (मेपल ""mepala""), Panjabisa (ਮੈਪਲ ""mepala""), Karnatakasa (ಮ್ಯಾಪಲ್ ""myapal""), Tamilsa (மேப்பிள் ""mepil"")",,,
mara,root,n,TRUE,"time, occasion",,fojo,"vez, ocasión",,,,,,"Doycisa (Mal), Arabisa (مرة “mara”), Swahilisa (mara)",,,
maraton,root,n,TRUE,marathon,,maratono,maratón,,,,,,"Englisa (marathon), Espanisa (maratón), Fransesa (marathon), Rusisa (марафон “marafon”), Doycisa (Marathon), Indonesisa (maraton), Putunhwa (马拉松 “malasong”), Hindisa (मैराथन “meratan”), Arabisa (مَارَاثُون “marathun”), Niponsa (マラソン “marason”), Turkisa (maraton), Hangusa (마라톤 “maraton”), Vyetnamsa (ma-ra-tông), Parsisa (ماراتون, ماراتن), Swahilisa (marathoni)",,,
mardiben,root,n,TRUE,ladder,,"ŝtupetaro, skalo",escalera de mano,,,,,,"Turkisa (merdiven), Parsisa (نردبان ""nardebân"")",,,
mare,root,n,TRUE,"(female) pastor, priestess; Mother",,pastrino,"pastora, sacerdotisa, madre",,,,,dini,Am oko _pare_ ji _matre_.,,,
margarin,root,n,TRUE,margarine,,margarino,margarina,,,,,yamxey,"Englisa (margarine), Fransesa, Doycisa, Espanisa (margarina), Pilipinasa, Rusisa (маргари́н “margarín”), Indonesisa (margarin), Turkisa, Putunhwa (麦淇淋 “maycilin”, 瑪琪琳 “macilin”, 馬芝蓮 “majilyan”, 瑪雅琳 “mayalin”), Hindisa (मार्जरीन “marjarin”), Niponsa (マーガリン “magarin”), Telugusa (మార్గరైన్ “margaren”), Hangusa (마가린 “magarin”), Parsisa (مارگارین “margarin”), Swahilisa (marjarini)",,,
Marihi,proper noun,n,TRUE,Mars (_planet_),,Marso,Marte (_planeta_),,,,,planeta,"Arabisa (المريخ “almiriykh”), Parsisa (مریخ “merikh”), Swahilisa (Mirihi, Meriki), Turkisa (Merih)",,,
marihidin,derived,n,FALSE,Tuesday,,mardo,martes,,,,,din,Marihi + -din,,,
Marihiyen,derived,n,FALSE,Martian,,Marsano,marciano,,,,,,marihi + -yen,,,
marixal,root,n,TRUE,marshall,,marŝalo,mariscal,,,,,insan,"Englisa (marshal), Espanisa (mariscal), Fransesa (maréchal), Rusisa (маршал ""marxal""), Doycisa (Marschall), Portugalsa (marechal), Italisa (maresciallo), Indonesisa (marsêkal), Pilipinasa (mariskal), Hindisa (मार्शल ""marxal""), Arabisa (مشير ""muxir"", مارشال ""marxal""), Turkisa (mareşal), Parsisa (فیلد مارشال ""fild marxal"")",,,
marka,root,n/f.oj,TRUE,mark,,marko; marki,marca; marcar,,,,,,"Englisa (mark), Fransesa (marque), Doycisa, Rusisa, Espanisa (marca)",,,
marmelada,root,n,TRUE,"jelly, jam, marmelade, confiture",,"marmelado, konfitaĵo, fruktaĵo","mermelada, jalea, confitura",,,,,yamxey,"Englisa (marmalade), Fransesa (marmalade), Doycisa (Marmalade), Indonesisa, Vyetnamsa (marmalade), Espanisa (mermelada), Rusisa (мармелад “marmelad”), Pilipinasa (marmelada), Arabisa (مَرْمَلَاد “marmalad”), Niponsa (マーマレード “mamaredo”), Turkisa (marmelat), Hangusa (레이드 “mamaleidu”), Parsisa (مارمالاد‎ “marmalad”)",,,
marmor,root,n,TRUE,marble (_material_),,marmoro,mármol,,,,,,"Englisa (marble), Espanisa (mármol), Fransesa (marbre), Rusisa (мрамор “mramor”), Doycisa (Marmor), Indonesisa (marmer), Pilipinasa (marmol), Hindisa (संगमरमर “sangmarmar”), Niponsa (マーブル “maburu”), Parsisa (mermer), Swahilisa (marumaru, marmar)",,,
marsupi,root,n,TRUE,"marsupium, pouch",,marsupio,marsupio,,,,,jismulogi,"Englisa (marsupium, marsupial), Espanisa (marsupio, marsupial), Fransesa (marsupium), Doycisa (Marsupialier), Indonesisa (marsupialia), Pilipinasa (marsupial), Hindisa (मारसूपियल “marsupiyal”), Telugusa (మార్సుపీలియా “marsupiliya”), Swahilisa (marsupialia)",,,
marsupiyen,derived,n,FALSE,marsupial,,marsupiulo,"marsupial, _Marsupialia_",,,,,hewan,marsupi + -yen,,,
marximalo,root,n,TRUE,marshmallow,,marŝmalo,"malvavisco, esponjita",,,,,yamxey,"Englisa (marshmallow), Fransesa, Doycisa, Indonesisa, Turkisa, Vyetnamsa, Rusisa (маршмэллоу “marxmelow”), Pilipinasa (marsmalow), Hindisa (मार्श मैलो “marxmelo”), Niponsa (マシュマロ “maxumaro”), Telugusa (మార్ష్మల్లౌ “marxmalaw”), Hangusa (마시멜로 “maximelo”), Parsisa (مارشمالو “marxmalo”), Swahilisa (marshmallow, mashimelo)",,,
mas,root,l,TRUE,but,,sed,"pero, mas",,,,,,"Espanisa (mas), Fransesa (mais), Nederisa (maar), Arabisa (أما “amma”), Parsisa (اما “amma”), Turkisa (ama)",,,
mas fe hataya,phrase,l jm,FALSE,"and yet, but nevertheless",,"sed tamen, kaj tamen",mas sin embargo,,,,,,"mas, fe, hata + -ya",,,
mase,root,n,TRUE,mass (_physics_),,maso,masa (_física_),,,,,,"Doycisa (Masse), Englisa (mass), Espanisa (masa), Fransesa (masse), Rusisa (масса “masa”), Indonesisa (massa), Pilipinasa (masa), Swahilisa (masi)",,,
masele,root,n,TRUE,"issue, matter, affair",,"problemtemo, koncernaĵo, afero",asunto,,,,,,"Arabisa (مسألة “mas'ala”), Parsisa (مسئله “masale”), Turkisa (mesele), Indonesisa (masalah), Hindisa (मसला “mas-la”)",,,
masku,root,n/f.oj,TRUE,mask ,,masko; maski,máscara,,,,,,"Englisa (mask), Fransesa (masque), Doycisa (Maske), Rusisa (маска “maska”), Espanisa (máscara), Indonesisa (masker), Pilipinasa (maskara), Niponsa (マスク “masuku”), Hangusa (마스크 “maseukeu”), Hindisa (मास्क “māsk”), Telugusa (మాస్కు “māsku”, మాస్క్ “māsk”), Parsisa (ماسک “mâsk”), Turkisa (maske)",,,
maskudo,derived,t,FALSE,masked,,maskata; maskate,enmascarado,,,,,,masku + -do,,,
maskuyen,derived,n,FALSE,masked person,,sinmaskanto,"enmascarado, (persona) enmascarada",,,,,,masku + -yen,,,
maso,root,n,TRUE,"meat, flesh",,"viando, karno",carne,,,,,yamxey,"Hindisa (मांस “maans”), Rusisa (мясо “myaso”), Ceskisa (maso)",,,
masonenyamyen,derived,n,FALSE,vegetarian,,vegetarano,vegetariano,,,,,,maso + nen- + yam + -yen,,,
Masri,proper noun,n,TRUE,Egypt,,"Egiptio, Egiptujo",Egipto,,,,,dexa,Arabisa (مَصر‎ “Maṣr”),,,
Masrili,derived,t,FALSE,Egyptian,,egipta,egipcio,,,,,,Masri + -li,,,
Masrisa,derived,n,FALSE,Egyptian (language),,la egipta (lingvo),egipcio (_idioma_),,,,,basa,Masri + -sa,,,
Masriyen,derived,n,FALSE,Egyptian,,egipto,egipcio (_persona_),,,,,,Masri + -yen,,,
masul,root,t,TRUE,"responsible, in charge, accountable","responsible, charge, in charge, accountable","priresponda, responda, komandanta; priresponde, komandante","responsable, encargado",,,,,,"Arabisa (مسؤول “masul”), Parsisa (مسئول “masul”), Turkisa (mesul)",,,
masulya,derived,n/f.oj,FALSE,"responsibility; have the responsibility (to), be responsible (for)",,responso; responsi,responsabilidad; tener responsabilidad (por),,,,,,masul + -ya,,,
matemati,root,n,TRUE,"mathematics, math, maths",,matematiko,matemáticas,,,,,,"Doycisa (Mathematik), Englisa (mathematics), Espanisa (matemática), Fransesa (mathématiques), Rusisa (математика “matematika”), Indonesisa (matematik), Pilipinasa (matematika), Turkisa (matematik)",,,
matematili,derived,t,FALSE,mathematical; mathematically,,matematika,matemático; matemáticamente,,,,,,matemati + -li,,,
matematiyen,derived,n,FALSE,mathematician,,matematikisto,matemático (_persona_),,,,,,matemati + -yen,,,
materyal,root,n,TRUE,material,,materialo,material,,,,,,"Englisa (material), Fransesa (matériau), Doycisa (Material), Rusisa (материал “material”), Espanisa (material), Indonesisa (materi), Pilipinasa (materyal)",,,
materyalli,derived,t,FALSE,material (_of material_),,materiala; materiale,material (_de material_),,,,,,materyal + -li,,,
matrasu,root,n,TRUE,mattress,,matraco,colchón,,,,,,"Englisa (mattress), Fransesa (matelas), Rusisa (матрас “matras”, матрац “matrats”), Doycisa (Matratze), Indonesisa (matras), Niponsa (マットレス “matoresu”), Hangusa (매트리스 “meturisu”)",,,
matre,root,n,TRUE,mother,,patrino,madre,,,,,,"Englisa (mother), Doycisa (Mutter), Fransesa (mère), Espanisa (madre), Hindisa (माता “mātā”, मादर “mādar”), Parsisa (مادر “mâdar”)",,,
matreli,derived,t,FALSE,maternal,,patrina; patrine,materno,,,,,,matre + -li,,,
matresim,derived,t,FALSE,motherly,,patrineca; patrinece,maternal,,,,,,matre + -sim,,,
matreya,derived,n,FALSE,motherhood,,patrineco,maternidad,,,,,,matre + -ya,,,
matris,root,n,TRUE,matrix,,matrico,matriz,Matrix,,,,,"Englisa (matrix), Espanisa (matriz), Fransesa (matrice), Rusisa (ма́трица ""matritsa""), Doycisa (Matrix), Indonesisa (matriks), Pilipinasa (matris), Niponsa (マトリックス ""matoriksu""), Telugusa (మాత్రిక ""matrika""), Turkisa (matris), Parsisa (ماتری‎, matris)",,,
matu,root,il,TRUE,"mate (_chess_), checkmate",,mato; ŝakmat,jaque mate,,,,,,"Englisa (checkmate), Espanisa (jaque mate), Fransesa (échec et mat), Rusisa (мат “mat”), Doycisa (Matt), Indonesisa (skakmat, syahmat, sekakmat), Hindisa (मात “mat”), Arabisa (مَات “mat”), Niponsa (チェックメイト “cekumeyto”), Telugusa (మాతు “matu”), Turkisa (mat), Hangusa (체크메이트 “cekumeytu”), Parsisa (شاه مات “šâh mât”)",,,
maux,root,n,TRUE,mouse,,muso,"ratón, _Mus musculus_",,,,,hewan,"Englisa (mouse), Doycisa (Maus), Rusisa (мышь “mysh”), Parsisa (موش “mosh”)",,,
Mawris,proper noun,n,TRUE,Mauritius,,Maŭricio,Mauricio (_país_),,,,,dexa,"Fransesa (Mauritius), Fransesa (Maurice), Mawrissa (Moris)",,,
Mawrisli,derived,t,FALSE,Mauritian,,maŭricia,mauriciano,,,,,,Mawris + -li,,,
Mawrisyen,derived,n,FALSE,Mauritian (person),,maŭriciano,mauriciano (_persona_),,,,,,Mawris + -yen,,,
max,root,d,TRUE,more,,pli,más,,,,,,"Fransesa, Espanisa (mas, maximo), Englisa, Doycisa (maximal), Rusisa (максимум “maksimum”), Turkisa (maksimum)",,,
max kom,phrase,l jm,FALSE,"more than, greater than",,pli ol,"más... que, más... de",,,,,,"max, kom",,,
max nilte maxus,phrase,jm,FALSE,nobody else other than,,neniu plu krom,nadie más que,,,,,,"max, nil + te, maxus",,,
max or min,phrase,t jm,FALSE,more or less,,plimalpli,más o menos,,maxmin,,,,"max, or, min",,,
max-,affix,lfik,TRUE,more,,pli-,más,,,min-,,,Am oko _max_.,,,
maxboncu,derived,n/f.nenoj,FALSE,"improve, get better",,pliboniĝo; pliboniĝi,mejorar,,,,,,max + bon + -cu,,,
maxbongi,derived,n/f.oj,FALSE,"improvement, betterment; improve, (make) better",,plibonigo; plibonigi,mejora; mejorar,,,,,,max- + bon + -gi,,,
maxburgi,derived,n/f.oj,FALSE,"worsen, make worse",,malbonigo; malbonigi,"empeorar, hacer peor",,,,,,max- + bur + -gi,,,
maxcu,derived,n/f.nenoj,FALSE,"increase, rise",,pliiĝo; pliiĝi,"incrementarse, elevarse",,,,,,max + -cu,,,
maxgi,derived,n/f.oj,FALSE,increase,,pliigo; pliigi,"aumentar, incrementar",,,,,,max + -gi,,,
maxim,root,m,TRUE,(the) most,,plej,el más...,,,,,,"Fransesa, Espanisa (mas, maximo), Englisa, Doycisa (maximal), Rusisa (максимум “maksimum”), Turkisa (maksimum)",,,
maxim bon,phrase,t,FALSE,(the) best,,plej bona; blej bone,(el) mejor,,,,,,"maxim, bon",,,
maximum,root,t,TRUE,"maximum, maximal; at most",,maksimuma; maksimume,"máximo, a lo máximo",,,,,,"Fransesa, Espanisa (mas, maximo), Englisa, Doycisa (maximal), Rusisa (максимум “maksimum”), Turkisa (maksimum)",,,
maximummo,derived,m,FALSE,"as... as possible, maximally",,"kiel eble plej, maksimume","tan... como se pueda, máximamente",,,,,,maximum + -mo,,,
maximumya,derived,n,FALSE,(the) maximum,,maksimumo,máximo,,,,,,maximum + -ya,,,
maxina,root,n,TRUE,machine,,maŝino,máquina,,,,,,"Englisa (machine), Fransesa (machine), Doycisa (Maschine), Rusisa (машина “maxina”), Espanisa (máquina), Indonesisa (mesin), Pilipinasa (makina), Arabisa (مَاكِينَة “makina”), Hindisa (मशीन “maxin”), Niponsa (マシン “maxin”), Hangusa (머신 “moxin”), Turkisa (makine), Parsisa (ماشین “maxin”), Swahilisa (mashine)",,,
maxkurtogi,derived,n/f.oj,FALSE,shorten,,mallongigo; malongigi,acortar,,,,,,max- + kurto + -gi,,,
maxlungogi,derived,n/f.oj,FALSE,"lengthen, extend",,longigo; longigi,alargar,,,,,,max- + lungo + -gi,,,
maxmin,derived,m,FALSE,more or less,,pli aŭ malpli,más o menos,,max or min,,,,max + min,,,
maxmo,derived,m,FALSE,more (_to a greater degree_),,pli (_al pli alta grado_),más (_a un mayor grado_),,,,,,max + -mo,,,
maxmo bon,phrase,t,FALSE,better,,pli bona; pli bone,mejor,,,,,,"max + -mo, bon",,,
maxmo kom,phrase,l jm,FALSE,more than,,pli ol,más que,,,,,,"max + -mo, kom",,,
maxmo nerleli,phrase,t jm,FALSE,"latest, most recent, most recently",,"pli ĵuse, pli lastatempe",más reciente,,,,,,"max + -mo, ner- + le- + -li",,,
maxmo or minmo,phrase,t jm,FALSE,more or less,,pli aŭ malpli,más o menos,,,,,,"max + -mo, or, min + -mo",,,
maxmo sahi,phrase,t jm,FALSE,rather (_more accurately_),,pli ĝusta; pli ĝuste,"más bien, más correctamente",,,,,,"max + -mo, sahi",,,
maxori,root,t,TRUE,"most, mostly, the majority of, largely, for the most part",,"plejmulta, majoritata, plejmulte, majoritate","mayormente, por la mayor parte",,,,,,"Fransesa, Espanisa (mas, maximo, mayoría), Englisa (maximum, majority), Doycisa (maximal, Majorität), Rusisa (максимум “maksimum”)",,,
maxoriya,derived,n,FALSE,majority,,"plejmulto, plejmulteco",mayoría,,,,,,maxori + -ya,,,
maxpul,derived,t,FALSE,"further, another, extra, additional, additionally, in addition, furthermore, moreover ",,"plua, cetera, aldona; plue, cetere, aldone",adicional; adicionalmente,,,,,,max + -pul,,,
maxus,root,p,TRUE,"plus, in addition to, with addition of, besides, aside from, including, other than",,"plus, kun aldono de","además de, aparte de",,,,,,"Fransesa, Espanisa (mas, maximo), Englisa (maximum, minus/plus), Doycisa (maximal), Rusisa (максимум “maksimum”), Turkisa (maksimum)",,,
maxusgi,derived,n/f.oj,FALSE,addition; add,,aldono; aldoni,adición; añadir,,,,,,maxus + -gi,,,
maxusli,derived,t,FALSE,"positive (_+1, +2, etc_)",,"pozitiva (_+1, +2, ktp_)","positivo (_+1, +2, etc._)",,,,,,maxus + -li,,,
maxya,derived,n,FALSE,more,,pli (_substantive_),más,,,minya,,,max + -ya,,,
maydo,root,n/f.oro.a,TRUE,sale; sell,,vendo; vendi,venta; vender,,,,,,"Putunhwa (卖掉 “mài diào”), Hangusa (매도 “maedo”)",,,
maydoyen,derived,n,FALSE,seller,,"vendisto, vendanto",vendedor,,,,,,maydo + -yen,,,
maymun,root,n,TRUE,monkey,,simio,"mono, _Simiiformes_",,,,,hewan,"Arabisa (مَيْمُون “maymūn”), Parsisa (میمون “maymun”), Turkisa (maymun), Serbihervatskasa (мајмун, majmun)",,,
mayones,root,n,TRUE,"mayonnaise, mayo",,majonezo,mayonesa,,,,,yamxey,"Englisa (mayonnaise), Fransesa, Espanisa (mayonesa), Pilipinasa, Rusisa (майонез “mayonez”), Doycisa (Majonäse), Indonesisa (mayones), Putunhwa (美乃滋 “meynayzi”), Hindisa (मेयोनेज़ “meyonez”), Arabisa (مَايُونِيز “mayuniz”), Niponsa (マヨネーズ “mayonezu”), Telugusa (మయొనయిస్ “mayonayis”), Turkisa (mayonez), Hangusa (마요네즈 “mayoneju”), Vyetnamsa (may-on-ne), Parsisa (مایونز “mayonez”), Swahilisa (mayonesi)",,,
mazbahu,root,n,TRUE,altar,,altaro,altar,,,,,,"Indonesisa (mezbah), Arabisa (مَذْبَح ""maḏbah""), Parsisa (""mazbah""), Swahilisa (madhabahu)",,,
medala,root,n,TRUE,medal,,medalo,medalla,,,,,,"Englisa (medal), Espanisa (medalla), Fransesa (médaille), Rusisa (медаль “medal”), Doycisa (Medaille), Indonesisa (medali), Pilipinasa (medalya), Hindisa (मेडल “medal”), Arabisa (مِيدَالِيَة “midaliya"", مِِيدَالْيَة “midalya”), Niponsa (メダル “medaru”), Turkisa (madalya), Hangusa (메달 “medal”), Vyetnamsa (mề đay), Parsisa (مدال “medâl”), Swahilisa (medali)",,,
medan,root,n,TRUE,"field, range, court, courtyard, yard, patio",,kampo,"campo, cancha, patio",,,,,,"Hindi (मैदान ""medan""), Arabisa (مَيْدَان ""maydan""), Indonesisa (medan), Telugusa (మైదానము ""maydanamu""), Parsisa (میدان ""meydan"")",,,
